3,4,5,6,7,8,9
What is the name of this AI/ML software platform?,What are the features of this platform?,What are the key differentiators of this platform?,Which client industries are using this platform?,What is the pricing information for this platform?,What are the deployment options for this platform?,What are the customer reviews and ratings of this platform?
Vertex AI,"Build, deploy, and monitor machine learning algorithms.","Best for Small Businesses, Mid-Market, and Enterprise.",(not found),(not found),(not found),(not found)
Saturn Cloud,"Provides tools for data science and machine learning, with a focus on user satisfaction.",Highest User Satisfaction; Best Free Software.,(not found),(not found),(not found),(not found)
(not found),(not found),(not found),(not found),(not found),(not found),(not found)
DataRobot,"Automated machine learning, model deployment, data visualization","Ease of use, high performance, rapid deployment","Healthcare, finance, retail",Not publicly disclosed,"Cloud, on-premises",4.5/5 on average from various reviews
H2O.ai,"Open-source machine learning, predictive analytics, automatic machine learning","Flexibility, scalability, support for deep learning","Insurance, finance, manufacturing","Free for the open-source version, enterprise pricing available","Cloud, on-premises",4.7/5 on average from various reviews
Alteryx,"Data blending, data preparation, analytics automation","User-friendly interface, comprehensive analytics capabilities","Telecommunications, retail, government","Starting at $5,000 per user per year","Cloud, on-premises, hybrid",4.6/5 on average from various reviews
RapidMiner,"Data preparation, machine learning, predictive analytics","User-friendly for non-programmers, strong community support","Marketing, finance, telecommunications","Free version available, professional plans start at $10,000 annually","Cloud, on-premises",4.8/5 on average from various reviews
IBM Watson Studio,Provides tools for data science and machine learning to accelerate AI-powered digital transformation,Integrates with IBM Cloud Pak for Data; allows both data scientists and business analysts to use the same platform,"Information Technology and Services, Computer Software",(not found),(not found),4.2 out of 5
TensorFlow,Open source software library for numerical computation using data flow graphs,"Ease of Use, Model Variety, Cloud Computing","Computer Software, Information Technology and Services",(not found),(not found),4.5 out of 5
Google Cloud AutoML,(not found),(not found),(not found),(not found),(not found),4.1 out of 5
BigML,Programmatic machine learning solutions,Strong usability and ease of use ratings,Computer Software,Entry Level Price: $30 per month,Cloud,User Satisfaction Rating: 8.3 for Application
Red Hat OpenShift Data Science,Flexible scalable artificial intelligence (AI) and machine learning (ML) platform deployment.,Ease of Use Integrated Platform Speed Collaboration Insights,Market Research Marketing and Advertising,(not found),(not found),4.4 out of 5
Box Skills,Framework that applies best-of-breed AI technologies creating structure and extracting insights from data.,(not found),(not found),(not found),(not found),4.2 out of 5
Clarifai,AI orchestration and development,Cutting-edge AI workflow,"Computer Software, Information Technology and Services",Free,(not found),4.3 out of 5
IBM Decision Optimization,Prescriptive analytics products,Combines mathematical and AI techniques,"Computer Software, Financial Services",Free,(not found),4.5 out of 5
Posit,"Open-source software for data science, scientific research, and technical communication",(not found),"Higher Education, Information Technology and Services",(not found),(not found),Average rating: 8.4
SAS Enterprise Miner,"streamline the data mining process, develop models quickly, understand key relationships",provides insights that drive better decision making,"Higher Education, Information Technology and Services",(not found),(not found),4.2 out of 5
Encord,"end-to-end platform to unlock AI from your data, develop, test and deploy predictive and generative AI systems",safely develop AI systems at scale,"Computer Software, Hospital & Health Care",(not found),(not found),4.8 out of 5
Incorta,Open data delivery platform for accessing data from multiple enterprise systems.,Simplifies data access and enables better analysis.,"Information Technology and Services, Computer Software",(not found),(not found),9.8 average for application usability.
Dataloop,"AI Development Platform, annotation tools, data management","Focus on AI applications development, user satisfaction scores","Computer Software, Information Technology and Services",(not found),(not found),8.7 out of 10 for overall user satisfaction
Explorium,"Automatic data discovery, feature engineering",Connection to thousands of external data sources,Financial Services,(not found),(not found),10.0 out of 10 for overall user satisfaction
TIMi Suite,"Analytics, predictive analytics",Powerful framework for analytics,"Information Technology and Services, Financial Services",(not found),(not found),User Satisfaction: 8.6
Peltarion Platform,No-code deep learning platform,Build commercially viable AI-powered solutions,Information Technology and Services,Entry Level Price: Free,(not found),User Satisfaction: 9.3
Salesforce,(not found),(not found),(not found),(not found),(not found),(not found)
Hubspot,(not found),(not found),(not found),(not found),(not found),(not found)
Autodesk Construction Cloud,(not found),(not found),(not found),(not found),(not found),(not found)
H2O,AI Cloud company focused on democratizing AI and providing insights from structured and unstructured data.,Leading AI Cloud company with an open AI movement.,(not found),(not found),(not found),4.5 out of 5
NVIDIA CUDA GL,Parallel computing platform that dramatically increases computing performance by harnessing the power of NVIDIA GPUs.,(not found),Computer Software,(not found),(not found),4.4 out of 5
Domino Enterprise AI Platform,Accelerates development and deployment of data science work; increases collaboration and governance,"Ease of use, scalability, easy integrations",Computer Software,(not found),(not found),4.2 out of 5
Deep Cognition,"Design, train, and deploy deep learning models without coding.",(not found),(not found),(not found),(not found),4.5 out of 5
Automaton AI,"Computer Vision & ML, Data Curation","Ease of Use, Automation",(not found),(not found),(not found),4.8 out of 5
Qubole,"Open Data Lake, Machine Learning",Simple and Secure,"Computer Software, Information Technology and Services",30 day free trial,(not found),4.0 out of 5
Akkio,AI data platform for agencies to improve performance across client engagement lifecycle,Designed specifically for agencies,(not found),$49.00 Entry Level Price,(not found),4.5 out of 5
Dash,Operationalizing Python models,Enterprise-ready apps,Computer Software,(not found),(not found),4.8 out of 5
DataCanvas,Automatic data science platform,Complete set of tools,(not found),(not found),(not found),4.8 out of 5
Telesign Intelligence,Data analysis of static and behavioral attributes across multiple data inputs,Ease of use and integration,"Mid-Market, Small-Business",(not found),(not found),4.3 out of 5
Pecan,"Predictive analytics, predictive modeling",Pioneering Predictive GenAI technology,"Enterprise, Mid-Market",$950.00,(not found),4.8 out of 5
Seldon,Features ratings that predict user satisfaction,,,Free,,8.3 out of 10
Neural Designer,Powerful software tool for developing and deploying machine learning models,,,Free,,4.4 out of 5
Spotfire,"Interactive visualizations, advanced analytics, data wrangling, extensive resource library.",True visual data science platform combining visualization and analytics.,"Oil & Energy, Information Technology and Services.",Free trial available.,(not found),4.2 out of 5 based on 354 reviews.
KNIME,"Data analytics, BI, data mining, and machine learning.",Open-source and highly extensible.,"Finance, retail, life sciences.","Free for basic version, with enterprise options available.",On-premises and cloud.,4.5 out of 5 stars.
AutoML,"automatic data preparation, automated feature engineering, providing explainability for models",Helps automate many tasks needed to develop AI and machine learning applications,(not found),(not found),(not found),(not found)
